,title,imdbId,tmdbId
233,"Few Good Men, A (1992)",104257,881.0
234,Edward Scissorhands (1990),99487,162.0
235,My Cousin Vinny (1992),104952,10377.0
236,Pleasantville (1998),120789,2657.0
237,Life Is Beautiful (La Vita è bella) (1997),118799,637.0
238,American History X (1998),120586,73.0
239,Enemy of the State (1998),120660,9798.0
240,"Bug's Life, A (1998)",120623,9487.0
241,Rushmore (1998),128445,11545.0
242,Shakespeare in Love (1998),138097,1934.0
243,Romancing the Stone (1984),88011,9326.0
244,Crocodile Dundee (1986),90555,9671.0
245,Office Space (1999),151804,1542.0
246,Planet of the Apes (1968),63442,871.0
247,"Lock, Stock & Two Smoking Barrels (1998)",120735,100.0
248,"Matrix, The (1999)",133093,603.0
249,10 Things I Hate About You (1999),147800,4951.0
250,Election (1999),126886,9451.0
251,"Mummy, The (1999)",120616,564.0
252,Star Wars: Episode I - The Phantom Menace (1999),120915,1893.0
253,Superman (1978),78346,1924.0
254,"Rocky Horror Picture Show, The (1975)",73629,36685.0
255,Notting Hill (1999),125439,509.0
256,Austin Powers: The Spy Who Shagged Me (1999),145660,817.0
257,Run Lola Run (Lola rennt) (1998),130827,104.0
258,Arachnophobia (1990),99052,6488.0
259,"South Park: Bigger, Longer and Uncut (1999)",158983,9473.0
260,Wild Wild West (1999),120891,8487.0
261,American Pie (1999),163651,2105.0
262,"Blair Witch Project, The (1999)",185937,2667.0
263,Eyes Wide Shut (1999),120663,345.0
264,Ghostbusters (a.k.a. Ghost Busters) (1984),87332,620.0
265,"Sixth Sense, The (1999)",167404,745.0
266,Airplane! (1980),80339,813.0
267,Big (1988),94737,2280.0
268,"Christmas Story, A (1983)",85334,850.0
269,American Beauty (1999),169547,14.0
270,Total Recall (1990),100802,861.0
271,Ferris Bueller's Day Off (1986),91042,9377.0
272,Goldfinger (1964),58150,658.0
273,Fight Club (1999),137523,550.0
274,RoboCop (1987),93870,5548.0
275,Who Framed Roger Rabbit? (1988),96438,856.0
276,Being John Malkovich (1999),120601,492.0
277,Spaceballs (1987),94012,957.0
278,Dogma (1999),120655,1832.0
279,Sleepy Hollow (1999),162661,2668.0
280,Toy Story 2 (1999),120363,863.0
281,"Green Mile, The (1999)",120689,497.0
282,Magnolia (1999),175880,334.0
283,Galaxy Quest (1999),177789,926.0
284,Wayne's World (1992),105793,8872.0
285,Erin Brockovich (2000),195685,462.0
286,Animal House (1978),77975,8469.0
287,Close Encounters of the Third Kind (1977),75860,840.0
288,High Fidelity (2000),146882,243.0
289,Hook (1991),102057,879.0
290,Predator (1987),93773,106.0
291,American Psycho (2000),144084,1359.0
292,Caddyshack (1980),80487,11977.0
293,Gladiator (2000),172495,98.0
294,Mission: Impossible II (2000),120755,955.0
295,Blazing Saddles (1974),71230,11072.0
296,Gone in 60 Seconds (2000),187078,9679.0
297,Chicken Run (2000),120630,7443.0
298,"Patriot, The (2000)",187393,2024.0
299,X-Men (2000),120903,36657.0
300,Almost Famous (2000),181875,786.0
301,Best in Show (2000),218839,13785.0
302,Meet the Parents (2000),212338,1597.0
303,Requiem for a Dream (2000),180093,641.0
304,Charlie's Angels (2000),160127,4327.0
305,Unbreakable (2000),217869,9741.0
306,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",190332,146.0
307,Snatch (2000),208092,107.0
308,What Women Want (2000),207201,3981.0
309,Cast Away (2000),162222,8358.0
310,Miss Congeniality (2000),212346,1493.0
311,"O Brother, Where Art Thou? (2000)",190590,134.0
312,Traffic (2000),181865,1900.0
313,Memento (2000),209144,77.0
314,Blow (2001),221027,4133.0
315,Bridget Jones's Diary (2001),243155,634.0
316,Scarface (1983),86250,111.0
317,Shrek (2001),126029,808.0
318,Moulin Rouge (2001),203009,824.0
319,A.I. Artificial Intelligence (2001),212720,644.0
320,Legally Blonde (2001),250494,8835.0
321,"Others, The (2001)",230600,1933.0
322,Training Day (2001),139654,2034.0
323,Zoolander (2001),196229,9398.0
324,Mulholland Drive (2001),166924,1018.0
325,Donnie Darko (2001),246578,141.0
326,"Monsters, Inc. (2001)",198781,585.0
327,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),241527,671.0
328,Ocean's Eleven (2001),240772,161.0
329,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",211915,194.0
330,"Royal Tenenbaums, The (2001)",265666,9428.0
331,"Lord of the Rings: The Fellowship of the Ring, The (2001)",120737,120.0
332,"Beautiful Mind, A (2001)",268978,453.0
333,Ice Age (2002),268380,425.0
334,My Big Fat Greek Wedding (2002),259446,8346.0
335,Spider-Man (2002),145487,557.0
336,Star Wars: Episode II - Attack of the Clones (2002),121765,1894.0
337,"Bourne Identity, The (2002)",258463,2501.0
338,Minority Report (2002),181689,180.0
339,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),120912,608.0
340,Austin Powers in Goldmember (2002),295178,818.0
341,Signs (2002),286106,2675.0
342,Spirited Away (Sen to Chihiro no kamikakushi) (2001),245429,129.0
343,Bowling for Columbine (2002),310793,1430.0
344,Harry Potter and the Chamber of Secrets (2002),295297,672.0
345,"Lord of the Rings: The Two Towers, The (2002)",167261,121.0
346,Gangs of New York (2002),217505,3131.0
347,Catch Me If You Can (2002),264464,640.0
348,City of God (Cidade de Deus) (2002),317248,598.0
349,X2: X-Men United (2003),290334,36658.0
350,"Matrix Reloaded, The (2003)",234215,604.0
351,Bruce Almighty (2003),315327,310.0
352,Finding Nemo (2003),266543,12.0
353,"Italian Job, The (2003)",317740,9654.0
354,28 Days Later (2002),289043,170.0
355,Pirates of the Caribbean: The Curse of the Black Pearl (2003),325980,22.0
356,Lost in Translation (2003),335266,153.0
357,School of Rock (2003),332379,1584.0
358,Mystic River (2003),327056,322.0
359,Kill Bill: Vol. 1 (2003),266697,24.0
360,"Matrix Revolutions, The (2003)",242653,605.0
361,Love Actually (2003),314331,508.0
362,"Last Samurai, The (2003)",325710,616.0
363,Big Fish (2003),319061,587.0
364,"Lord of the Rings: The Return of the King, The (2003)",167260,122.0
365,Eternal Sunshine of the Spotless Mind (2004),338013,38.0
366,Kill Bill: Vol. 2 (2004),378194,393.0
367,Shrek 2 (2004),298148,809.0
368,Harry Potter and the Prisoner of Azkaban (2004),304141,673.0
369,Spider-Man 2 (2004),316654,558.0
370,Anchorman: The Legend of Ron Burgundy (2004),357413,8699.0
371,"I, Robot (2004)",343818,2048.0
372,"Bourne Supremacy, The (2004)",372183,2502.0
373,Shaun of the Dead (2004),365748,747.0
374,"Incredibles, The (2004)",317705,9806.0
375,Million Dollar Baby (2004),405159,70.0
376,Charlie and the Chocolate Factory (2005),367594,118.0
377,Sin City (2005),401792,187.0
378,Star Wars: Episode III - Revenge of the Sith (2005),121766,1895.0
379,Mr. & Mrs. Smith (2005),356910,787.0
380,Batman Begins (2005),372784,272.0
381,Wedding Crashers (2005),396269,9522.0
382,"40-Year-Old Virgin, The (2005)",405422,6957.0
383,Harry Potter and the Goblet of Fire (2005),330373,674.0
384,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",363771,411.0
385,V for Vendetta (2006),434409,752.0
386,X-Men: The Last Stand (2006),376994,36668.0
387,Pirates of the Caribbean: Dead Man's Chest (2006),383574,58.0
388,Little Miss Sunshine (2006),449059,773.0
389,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),443453,496.0
390,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",457430,1417.0
391,"Departed, The (2006)",407887,1422.0
392,Children of Men (2006),206634,9693.0
393,"Prestige, The (2006)",482571,1124.0
394,Casino Royale (2006),381061,36557.0
395,Blood Diamond (2006),450259,1372.0
396,Ratatouille (2007),382932,2062.0
397,Hot Fuzz (2007),425112,4638.0
398,300 (2007),416449,1271.0
399,Knocked Up (2007),478311,4964.0
400,Pirates of the Caribbean: At World's End (2007),449088,285.0
401,Harry Potter and the Order of the Phoenix (2007),373889,675.0
402,"Bourne Ultimatum, The (2007)",440963,2503.0
403,Superbad (2007),829482,8363.0
404,No Country for Old Men (2007),477348,6977.0
405,I Am Legend (2007),480249,6479.0
406,Juno (2007),467406,7326.0
407,"Dark Knight, The (2008)",468569,155.0
408,Iron Man (2008),371746,1726.0
409,Kung Fu Panda (2008),441773,9502.0
410,WALL·E (2008),910970,10681.0
411,Slumdog Millionaire (2008),1010048,12405.0
412,Inglourious Basterds (2009),361748,16869.0
413,Star Trek (2009),796366,13475.0
414,Up (2009),1049413,14160.0
415,"Hangover, The (2009)",1119646,18785.0
416,Harry Potter and the Half-Blood Prince (2009),417741,767.0
417,District 9 (2009),1136608,17654.0
418,Zombieland (2009),1156398,19908.0
419,Avatar (2009),499549,19995.0
420,Sherlock Holmes (2009),988045,10528.0
421,Shutter Island (2010),1130884,11324.0
422,How to Train Your Dragon (2010),892769,10191.0
423,Toy Story 3 (2010),435761,10193.0
424,Inception (2010),1375666,27205.0
425,"Social Network, The (2010)",1285016,37799.0
426,"King's Speech, The (2010)",1504320,45269.0
427,"Avengers, The (2012)",848228,24428.0
428,The Hunger Games (2012),1392170,70160.0
429,"Dark Knight Rises, The (2012)",1345836,49026.0
430,Django Unchained (2012),1853728,68718.0
431,"Wolf of Wall Street, The (2013)",993846,106646.0
432,"Grand Budapest Hotel, The (2014)",2278388,120467.0
433,Interstellar (2014),816692,157336.0
434,Guardians of the Galaxy (2014),2015381,118340.0
435,Deadpool (2016),1431045,293660.0
